date,open,high,low,close,volume,bar_count,average
20220427  13:18:00,401.675,402.15,401.17,401.39,,,
20220427  13:19:00,401.39,401.43,400.885,400.975,,,
20220427  13:20:00,400.975,401.76,400.855,401.255,,,
20220427  13:21:00,401.255,401.605,401.005,401.565,,,
20220427  13:22:00,401.565,401.85,401.335,401.345,,,
20220427  13:23:00,401.345,401.595,401.015,401.435,,,
20220427  13:24:00,401.435,401.575,401.015,401.32,,,
20220427  13:25:00,401.32,401.79,401.285,401.485,,,
20220427  13:26:00,401.485,401.76,400.505,400.505,,,
20220427  13:27:00,400.505,401.01,400.18,400.995,,,
20220427  13:28:00,400.995,402.625,400.995,402.26,,,
20220427  13:29:00,402.26,402.68,401.885,402.59,,,
20220427  13:30:00,402.59,402.71,402.045,402.3,,,
20220427  13:31:00,402.3,402.845,401.955,402.445,,,
20220427  13:32:00,402.445,402.55,401.99,401.995,,,
20220427  13:33:00,401.995,402.0,401.295,401.815,,,
20220427  13:34:00,401.815,402.16,401.695,402.04,,,
20220427  13:35:00,402.04,402.785,401.86,401.875,,,
20220427  13:36:00,401.875,402.11,401.025,401.415,,,
20220427  13:37:00,401.415,401.975,401.275,401.93,,,
20220427  13:38:00,401.93,402.095,401.13,401.35,,,
20220427  13:39:00,401.35,401.535,400.885,401.365,,,
20220427  13:40:00,401.365,401.51,400.795,401.315,,,
20220427  13:41:00,401.315,401.74,401.195,401.645,,,
20220427  13:42:00,401.645,401.975,401.365,401.905,,,
20220427  13:43:00,401.905,401.94,401.46,401.86,,,
20220427  13:44:00,401.86,402.03,401.675,401.855,,,
20220427  13:45:00,401.855,402.09,401.725,401.945,,,
20220427  13:46:00,401.945,402.375,401.94,402.055,,,
20220427  13:47:00,402.055,402.115,401.16,401.285,,,
20220427  13:48:00,401.285,401.685,400.96,401.635,,,
20220427  13:49:00,401.635,402.145,401.635,401.725,,,
20220427  13:50:00,401.725,402.14,401.68,401.965,,,
20220427  13:51:00,401.965,402.14,401.715,402.025,,,
20220427  13:52:00,402.025,402.2,401.73,402.07,,,
20220427  13:53:00,402.07,402.19,401.925,402.01,,,
20220427  13:54:00,402.01,402.165,401.73,401.935,,,
20220427  13:55:00,401.935,401.995,401.5,401.92,,,
20220427  13:56:00,401.92,402.25,401.845,402.22,,,
20220427  13:57:00,402.22,403.295,402.135,402.98,,,
20220427  13:58:00,402.98,403.475,402.98,403.365,,,
20220427  13:59:00,403.365,403.605,402.895,403.605,,,
20220427  14:00:00,403.605,403.66,402.905,403.28,,,
20220427  14:01:00,403.28,403.695,403.245,403.41,,,
20220427  14:02:00,403.41,403.45,403.13,403.375,,,
20220427  14:03:00,403.375,403.825,403.35,403.415,,,
20220427  14:04:00,403.415,403.415,402.8,402.83,,,
20220427  14:05:00,402.83,402.99,402.445,402.99,,,
20220427  14:06:00,402.99,403.22,402.765,403.0,,,
20220427  14:07:00,403.0,403.535,402.98,403.465,,,
20220427  14:08:00,403.465,403.555,403.085,403.115,,,
20220427  14:09:00,403.115,403.4,402.835,403.17,,,
20220427  14:10:00,403.17,403.21,402.54,402.555,,,
20220427  14:11:00,402.555,403.085,402.555,403.0,,,
20220427  14:12:00,403.0,403.32,403.0,403.03,,,
20220427  14:13:00,403.03,403.375,402.99,403.305,,,
20220427  14:14:00,403.305,403.9,403.13,403.62,,,
20220427  14:15:00,403.62,403.625,402.86,402.86,,,
20220427  14:16:00,402.86,403.38,402.85,403.07,,,
20220427  14:17:00,403.07,403.075,402.75,402.86,,,
20220427  14:18:00,402.86,402.86,401.84,402.21,,,
20220427  14:19:00,402.21,402.26,401.96,402.025,,,
20220427  14:20:00,402.025,402.75,402.025,402.535,,,
20220427  14:21:00,402.535,402.535,402.26,402.39,,,
20220427  14:22:00,402.39,402.63,402.03,402.08,,,
20220427  14:23:00,402.08,402.355,402.02,402.245,,,
20220427  14:24:00,402.245,402.245,401.625,401.625,,,
20220427  14:25:00,401.625,401.795,401.225,401.54,,,
20220427  14:26:00,401.54,401.865,401.26,401.39,,,
20220427  14:27:00,401.39,401.63,401.165,401.41,,,
20220427  14:28:00,401.41,401.78,401.305,401.545,,,
20220427  14:29:00,401.545,401.815,401.485,401.555,,,
20220427  14:30:00,401.555,401.67,401.22,401.365,,,
20220427  14:31:00,401.365,401.885,401.275,401.735,,,
20220427  14:32:00,401.735,402.595,401.625,402.16,,,
20220427  14:33:00,402.16,402.445,402.055,402.19,,,
20220427  14:34:00,402.19,402.545,402.045,402.45,,,
20220427  14:35:00,402.45,402.515,402.195,402.31,,,
20220427  14:36:00,402.31,402.33,401.995,402.115,,,
20220427  14:37:00,402.115,402.195,401.41,401.61,,,
20220427  14:38:00,401.61,401.755,400.31,400.76,,,
20220427  14:39:00,400.76,401.875,400.58,401.81,,,
20220427  14:40:00,401.81,402.16,401.785,402.055,,,
20220427  14:41:00,402.055,402.12,401.895,401.96,,,
20220427  14:42:00,401.96,402.745,401.785,402.575,,,
20220427  14:43:00,402.575,402.605,402.385,402.55,,,
20220427  14:44:00,402.55,402.66,402.38,402.45,,,
20220427  14:45:00,402.45,402.975,402.445,402.79,,,
20220427  14:46:00,402.79,402.795,402.235,402.245,,,
20220427  14:47:00,402.245,402.36,402.05,402.055,,,
20220427  14:48:00,402.055,402.055,401.32,401.45,,,
20220427  14:49:00,401.45,401.695,401.4,401.565,,,
20220427  14:50:00,401.565,401.765,401.08,401.255,,,
20220427  14:51:00,401.255,401.255,400.69,400.99,,,
20220427  14:52:00,400.99,401.055,400.285,400.705,,,
20220427  14:53:00,400.705,400.795,400.075,400.12,,,
20220427  14:54:00,400.12,400.43,399.85,400.04,,,
20220427  14:55:00,400.04,400.22,399.515,399.635,,,
20220427  14:56:00,399.635,399.925,399.395,399.76,,,
20220427  14:57:00,399.76,399.76,399.295,399.32,,,
20220427  14:58:00,399.32,399.335,398.645,398.645,,,
20220427  14:59:00,398.645,399.195,398.585,398.915,,,
20220427  15:00:00,398.915,399.05,398.58,398.92,,,
